,SGD Regressor,Lasso Regression,Lars Regression,Gaussian Regression
2019-10-31,8.552844718020292,8.552844718020292,8.552844718020292,8.552844718020292
2019-11-30,10.56184889248508,10.56184889248508,10.56184889248508,10.56184889248508
2019-12-31,11.836092210825644,11.836092210825644,11.836092210825644,11.836092210825644
2020-01-31,12.153641319365939,12.153641319365939,12.153641319365939,12.153641319365939
2020-02-29,12.367384816031702,12.367384816031702,12.367384816031702,12.367384816031702
2020-03-31,11.85918919589881,11.85918919589881,11.85918919589881,11.85918919589881
2020-04-30,10.936698972243253,10.936698972243253,10.936698972243253,10.936698972243253
2020-05-31,11.390017411491593,11.390017411491593,11.390017411491593,11.390017411491593
2020-06-30,12.622391992843852,12.622391992843852,12.622391992843852,12.622391992843852
2020-07-31,11.764144642686759,11.764144642686759,11.764144642686759,11.764144642686759
2020-08-31,11.77040961120046,11.77040961120046,11.77040961120046,11.77040961120046
2020-09-30,11.748313975271628,11.748313975271628,11.748313975271628,11.748313975271628
2020-10-31,11.889620973851557,11.889620973851557,11.889620973851557,11.889620973851557
2020-11-30,14.026300743281862,14.026300743281862,14.026300743281862,14.026300743281862
2020-12-31,14.599318955732121,14.599318955732121,14.599318955732121,14.599318955732121
2021-01-31,14.973681263299365,14.973681263299365,14.973681263299365,14.973681263299365
2021-02-28,15.610910227222007,15.610910227222007,15.610910227222007,15.610910227222007
2021-03-31,16.190243685915927,16.190243685915927,16.190243685915927,16.190243685915927
2021-04-30,17.140153599014152,17.140153599014152,17.140153599014152,17.140153599014152
2021-05-31,16.592853111024255,16.592853111024255,16.592853111024255,16.592853111024255
2021-06-30,17.525330585608813,17.525330585608813,17.525330585608813,17.525330585608813
2021-07-31,18.951681748335325,18.951681748335325,18.951681748335325,18.951681748335325
2021-08-31,19.25266075622607,19.25266075622607,19.25266075622607,19.25266075622607
2021-09-30,19.582573709687566,19.582573709687566,19.582573709687566,19.582573709687566
2021-10-31,19.890024211087876,19.890024211087876,19.890024211087876,19.890024211087876
2021-11-30,21.31252757832245,21.31252757832245,21.31252757832245,21.31252757832245
2021-12-31,36.08090172540164,36.08090172540164,36.08090172540164,36.08090172540164
2022-01-31,48.69082407948571,48.69082407948571,48.69082407948571,48.69082407948571
2022-02-28,54.43856668468605,54.43856668468605,54.43856668468605,54.43856668468605
